severity,bucket,file,kind,photo_crag,resolved_slug,resolved_name,resolve_how,alt_crags,page,license,sourceUrl,flags,n_candidates,n_matched,n_routes_at_crag,unmatched_names,matched_names,grade_conflicts,sector_hints,caption_excerpt
102,guide,Images/guide/p42-2-X154.jpg,topo-diagram,Aow Luek / Lang Khai,aow-luek,Aow Luek,dual_crag_partial,Aow Luek; Lang Khai,42,,,dual_crag_label|multi_route_caption|no_routeId_multi_route_gap|grade_mismatch_vs_db,9,9,69,,Planet Paradise→Planet Paradise[exact]; Tantalis→Tantalis[exact]; Pinatubo→Pinatubo[exact]; Hairy Classic Right→Hairy  Classic Right[exact]; Hairy Classic Left→Hairy Classic Left[exact]; Zenalithic→Zenalithic[exact]; Difensless→Difensless[exact]; Seafluzy→Seafluzy[exact]; Infra-bubba→Infra-bubba[exact],Tantalis:caption=V6 db=7B; Hairy Classic Right:caption=V2 db=6B; Zenalithic:caption=V2 db=6B+,,"Full guidebook page ""Lang Khaai Bay"": intro text (secluded seaside granite, Tantalis roof, Yang's Bungalows, potential DWS/cliff-jumping spot toward Tanote bay), compass rose and hand-drawn topo with 12 numbered problems: 1. ***Planet Parad"
95,guide,Images/guide/p15-0-X43.jpg,topo-diagram,Mek's Mountain,meks-mountain,Mek's Mountain,exact_name,Mek's Mountain,15,,,multi_route_caption|no_routeId_multi_route_gap|caption_says_unverified|grade_mismatch_vs_db|name_spelling_drift,8,8,49,,Mosquito Burrito→Mosquit Burrito[fuzzy]; Devine Intervention→Devine Intervention[exact]; Daddy Long Legs→Daddy Long Legs[exact]; Tim and Charly's only Friend→Tim and Charly's only Friend[exact]; Arabian Balls→Arabian Balls[exact]; Squirming Worm→Squirming Worm[exact]; Dirty Squirrel→Dirty Squirrel[exact]; Bees Knees→Bees Knees[exact],Devine Intervention:caption=6a db=5c,DE-VINE WALL; 12M,"Drawn topo titled 'DE-VINE WALL' with two inset photos. Routes (left to right): Mosquito Burrito 6a, Devine Intervention 6a+, Dirty Squirrel (by 'Tree'), Daddy Long Legs 6a, Tim and Charly's only Friend 4+ (4 bolts), Squirming Worm, Bees Kn"
95,guide,Images/guide/p15-1-X44.jpg,topo-diagram,Mek's Mountain,meks-mountain,Mek's Mountain,exact_name,Mek's Mountain,15,,,multi_route_caption|no_routeId_multi_route_gap|caption_says_unverified|grade_mismatch_vs_db|name_spelling_drift,4,4,49,,C U Next Tuesday→C U Next Tuesday[exact]; Son of a bitch→Son of A Btich[fuzzy]; The bitch in me→The bitch in me[exact]; Naughty or Nice→Naughty or Nice[exact],The bitch in me:caption=6c db=6b+,QUIT YOUR; 16M; Quit Youre Bitchin,"Drawn topo titled 'QUIT YOUR'E BITCHIN' with two inset photos. Routes (left to right): Naughty or Nice (Chimney), C U Next Tuesday 5c, Son of a bitch 7a (2 bolt anchor), an unlabeled 6c+ line (1 bolt anchor backup), The bitch in me 6c (2 bo"
92,guide,Images/guide/p27-0-X73.jpg,map,Backyard & Frontyard,backyard-frontyard,Backyard & Frontyard,exact_name,Backyard & Frontyard,27,,,caption_routes_not_in_db|multi_route_caption|no_routeId_multi_route_gap|grade_mismatch_vs_db,6,3,166,Jungle Science(V9); Mantle(V6); Predator(V7),The Lost Idol→The Lost Idol[exact]; Big Brother→Big Brother[exact]; Tao→Tao[exact],The Lost Idol:caption=V8 db=8B,,"Hand-drawn bouldering area map titled 'The Frontyard', labeled 'Tantoe Bay / Aow Leuk' (Tanote Bay). Shows ~60 numbered boulders. Legible route/problem names: The Lost Idol V8, Jungle Science V9, Mantle V6, Predator V7. Landmarks: Big Broth"
92,guide,Images/guide/p29-0-X82.jpg,map,Secret Garden Boulders,secret-garden-boulders,Secret Garden Boulders,exact_name,Secret Garden Boulders,29,,,caption_routes_not_in_db|multi_route_caption|no_routeId_multi_route_gap|grade_mismatch_vs_db,6,5,83,Under Frondly Fire(V4),James and the Giant Peach→James and the Giant Peach[exact]; Pancake Ninja→Pancake Ninja[exact]; Exploding Epitaph→Exploding Epitaph[exact]; Spaceship→Spaceship[exact]; Egg→Egg[exact],James and the Giant Peach:caption=V11 db=8A+; Pancake Ninja:caption=V6/VH db=7A,,"Detailed hand-drawn bouldering map of the Secret Garden boulder field. Header: 'Upper Secret Garden (see separate map)'. Legible problem/boulder names: James and the Giant Peach V11, Pancake Ninja V6/VH, Jawa Ship, Under Frondly Fire V4, Su"
92,guide,Images/guide/p34-0-X112.jpg,map,Secret Garden Boulders,secret-garden-boulders,Secret Garden Boulders,exact_name,Secret Garden Boulders,34,,,caption_routes_not_in_db|multi_route_caption|no_routeId_multi_route_gap|grade_mismatch_vs_db,8,7,83,Under Friendly Fire(V4),Pancake Ninja→Pancake Ninja[exact]; James and the Giant Peach→James and the Giant Peach[exact]; I Just Need a Hug→I Just Need a Hug[exact]; Chiropractor→Chiropractor[exact]; Kit Kat→Kit Kat[exact]; Shadows→Shadows[exact]; Groovy→Groovy[exact],Pancake Ninja:caption=V6 db=7A,E / MH / V0,"Top-down map titled 'Upper Secret Garden' with compass rose (N/E) and 25m scale. Legible labels: 'Dense Jungle', 'To Star Villa and Buddha Temple' (uphill), 'Hill Top', 'Water Tank', 'Bldg' (several buildings), 'Please be considerate with n"
92,guide,Images/guide/p37-0-X123.jpg,topo-diagram,The Peak Boulders / Sai Tong,the-peak-boulders,The Peak Boulders,dual_crag_partial,The Peak Boulders; Sai Tong,37,,,dual_crag_label|multi_route_caption|no_routeId_multi_route_gap|caption_says_unverified,7,7,10,,Long live the Buddha→Long live the Buddha[exact]; Baseball mantle→Baseball mantle[exact]; Nak Lung Noi→Nak Lung Noi[exact]; Pete's arete→Pete's arete[exact]; Crimpology→Crimpology[exact]; Kanom Wan→Kanom Wan[exact]; Slinky→Slinky[exact],,,"Topo diagram titled 'The Peak Boulders' at June Jua Beach (area not among the 9 known crags - crag unverified). Boulder layout with letter/grade labels: MH - Pete's arete, Pro, M, M, Pro, MH - Nak Lung Noi, M - Kanom Wan, H - Crimpology, E "
92,guide,Images/guide/p37-1-X124.jpg,topo-diagram,The Peak Boulders / Sai Tong,the-peak-boulders,The Peak Boulders,dual_crag_partial,The Peak Boulders; Sai Tong,37,,,dual_crag_label|multi_route_caption|no_routeId_multi_route_gap|caption_says_unverified,2,2,10,,Return of the Jeddi→Return of the Jeddi[exact]; Hels's arete→Hels's arete[exact],,,"Topo diagram titled 'Sai Tong area' (near Jansom Bay per map labels). Boulder layout near Small Coral Beach, Sai Tong beach, Jansom Bay; features a 'Cave'. Labels: H - Return of the Jeddi, M/MH/H/E difficulty markers, M - Hels's arete (part"
85,guide,Images/guide/p10-2-X26.jpg,topo-diagram,Mek's Mountain,meks-mountain,Mek's Mountain,exact_name,Mek's Mountain,10,,,multi_route_caption|no_routeId_multi_route_gap|grade_mismatch_vs_db|name_spelling_drift,10,10,49,,Easy Eagle→Easy Eagle[exact]; Moguls→Moguls[exact]; Clear Horizons→Clear Horizons[exact]; Step→2 Step[fuzzy]; Charly's Crack→Charly's Crack[exact]; Moguls→Moguls[exact]; Clear Horizons→Clear Horizons[exact]; Charly's Crack→Charly's Crack[exact]; I Got a Feeling→I Got a Feeling[exact]; 2 Step→2 Step[exact],Charly's Crack:caption=5 db=6a,Eagle Wall,"Drawn topo titled 'Eagle Wall' (14M scale). Routes left to right: Easy Eagle (4), Moguls (5c), I got a feeling (6a, 6a+ variation), Clear Horizons (5a), 2 Step (5c), Charly's Crack (6a). Bolt counts noted: Moguls 5 bolts, I got a feeling 5 "
82,guide,Images/guide/p18-0-X52.jpg,photo-topo,Sairee Beach Boulders,sairee-beach-boulders,Sairee Beach Boulders,exact_name,Sairee Beach Boulders,18,,,caption_routes_not_in_db|multi_route_caption|no_routeId_multi_route_gap,2,1,40,The Trunk(7a),The Wet Beaver→The Wet Beaver[exact],,6. MH; 7. E; 8. MH; 10. H; The Elephant,"Photo-topo titled 'The Elephant – North Side' with compass rose. Dashed route lines with star anchor. Route list at bottom: '6. MH', '7. E', '8. MH', '9. The Wet Beaver 4', '10. H', '11. The Trunk 7a'. Beach, longtail boats and buildings vi"
